101102809955,水上华城,广渠门,东城,1350,144.43㎡,112.82㎡,板楼,93471,3室1厅1厨2卫,中楼层 (共20层),平层,东 西,钢混结构,精装,两梯两户,集中供暖,有,70年,普通住宅,https://bj.lianjia.com/ershoufang/101102809955.html
101102355084,幸福家园二期,广渠门,东城,1900,187.09㎡,148.95㎡,板楼,101556,4室2厅1厨2卫,高楼层 (共18层),平层,南 西 北,钢混结构,简装,两梯六户,集中供暖,有,70年,普通住宅,https://bj.lianjia.com/ershoufang/101102355084.html
101102962098,远洋德邑,广渠门,东城,1100,131.45㎡,108.25㎡,板塔结合,83683,2室1厅1厨2卫,低楼层 (共12层),平层,东 西,钢混结构,精装,一梯四户,集中供暖,有,70年,普通住宅,https://bj.lianjia.com/ershoufang/101102962098.html
101103017077,绿景苑,广渠门,东城,690,69.61㎡,57.39㎡,板塔结合,99124,2室1厅1厨1卫,低楼层 (共14层),平层,东,钢混结构,简装,三梯二十二户,集中供暖,有,70年,普通住宅,https://bj.lianjia.com/ershoufang/101103017077.html
101103027582,天利园,广渠门,东城,660,66.31㎡,55.02㎡,板楼,99533,2室1厅1厨1卫,顶层 (共16层),平层,南,钢混结构,简装,一梯三户,集中供暖,有,70年,普通住宅,https://bj.lianjia.com/ershoufang/101103027582.html
101102942654,金世纪嘉园,广渠门,东城,555,69.27㎡,54.98㎡,塔楼,80122,1室1厅1厨1卫,低楼层 (共21层),平层,东南,钢混结构,简装,三梯十二户,集中供暖,有,70年,普通住宅,https://bj.lianjia.com/ershoufang/101102942654.html
101103096133,远洋德邑,广渠门,东城,1060,119.3㎡,98.25㎡,板塔结合,88852,2室1厅1厨2卫,低楼层 (共14层),平层,东 西,钢混结构,简装,一梯四户,集中供暖,有,70年,普通住宅,https://bj.lianjia.com/ershoufang/101103096133.html
101101907553,培新街乙5号院,广渠门,东城,590,55.15㎡,暂无数据,塔楼,106981,1室1厅1厨1卫,底层 (共17层),平层,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,普通住宅,https://bj.lianjia.com/ershoufang/101101907553.html
101102704907,幸福北里,广渠门,东城,543,57.41㎡,40.1㎡,板楼,94583,2室1厅1厨1卫,中楼层 (共6层),平层,南,混合结构,毛坯,一梯三户,集中供暖,无,70年,普通住宅,https://bj.lianjia.com/ershoufang/101102704907.html
101102824304,绿景苑,广渠门,东城,740,78.33㎡,62.63㎡,塔楼,94473,2室1厅1厨1卫,中楼层 (共18层),平层,西,钢混结构,其他,三梯十二户,集中供暖,有,70年,普通住宅,https://bj.lianjia.com/ershoufang/101102824304.html
